Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: против часовой стрелки
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_L
  чч:мм:сс.ссс      мм      мм     град      мм
  10:52:16.906   832.2     2.3     -0.1  1010.0
  10:52:16.937   832.2     2.3     -0.1   990.0
  10:52:16.984   834.7     2.3     -0.1   990.0
  10:52:17.031   837.1     2.3     -0.1   880.0
  10:52:17.062   839.7     2.3     -0.1   640.0
  10:52:17.093   839.7     2.3     -0.1   640.0
  10:52:17.140   842.5     2.3     -0.1   540.0
  10:52:17.187   844.7     2.3     -0.1   520.0
  10:52:17.218   847.2     2.3     -0.1   520.0
  10:52:17.265   849.5     2.3     -0.1   490.0
  10:52:17.312   851.9     2.3     -0.1   490.0
  10:52:17.359   854.1     2.3     -0.1   490.0
  10:52:17.390   856.5     2.3     -0.1   490.0
  10:52:17.437   858.8     2.2     -0.1   490.0
  10:52:17.484   861.2     2.2     -0.1   490.0
  10:52:17.531   861.2     2.2     -0.1   490.0
  10:52:17.578   863.5     2.2     -0.1   490.0
  10:52:17.609   865.9     2.2     -0.1   490.0
  10:52:17.625   868.2     2.2     -0.1   480.0
  10:52:17.671   868.2     2.2     -0.1   480.0
  10:52:17.718   870.5     2.2     -0.1   490.0
  10:52:17.765   872.9     2.2     -0.1   490.0
  10:52:17.796   875.3     2.2     -0.1   490.0
  10:52:17.843   877.5     2.2     -0.1   500.0
  10:52:17.890   879.8     2.2     -0.1   490.0
  10:52:17.937   882.1     2.2     -0.1   490.0
  10:52:17.984   884.6     2.2     -0.1   490.0
  10:52:18.015   886.9     2.2     -0.1   500.0
  10:52:18.062   889.2     2.2     -0.1   490.0
  10:52:18.109   889.2     2.2     -0.1   490.0
  10:52:18.156   891.6     2.2     -0.1   490.0
  10:52:18.187   893.9     2.2     -0.1   490.0
  10:52:18.234   896.2     2.2     -0.1   490.0
  10:52:18.281   898.5     2.2     -0.1   490.0
  10:52:18.312   900.9     2.2     -0.1   490.0
  10:52:18.359   903.3     2.2     -0.1   500.0
  10:52:18.406   905.6     2.1     -0.1   490.0
  10:52:18.437   908.0     2.1     -0.1   490.0
  10:52:18.484   908.0     2.1     -0.1   490.0
  10:52:18.531   910.3     2.1     -0.1   490.0
  10:52:18.578   912.7     2.1     -0.1   490.0
  10:52:18.609   914.9     2.1     -0.1   490.0
  10:52:18.656   917.4     2.1     -0.1   500.0
  10:52:18.703   919.6     2.1     -0.1   490.0
  10:52:18.734   921.9     2.1     -0.1   500.0
  10:52:18.781   924.3     2.1     -0.1   500.0
  10:52:18.828   926.8     2.1     -0.1   500.0
  10:52:18.875   926.8     2.1     -0.1   500.0
  10:52:18.906   929.0     2.1     -0.1   500.0
  10:52:18.953   931.3     2.1     -0.1   500.0
  10:52:19.000   933.6     2.1     -0.1   500.0
  10:52:19.046   936.0     2.1     -0.1   500.0
  10:52:19.093   938.4     2.1     -0.1   490.0
  10:52:19.125   940.7     2.1     -0.1   500.0
  10:52:19.171   943.0     2.1     -0.1   500.0
  10:52:19.218   945.3     2.1     -0.1   500.0
  10:52:19.265   947.7     2.1     -0.1   500.0
  10:52:19.296   947.7     2.1     -0.1   480.0
  10:52:19.343   949.9     2.1     -0.1   480.0
  10:52:19.375   952.3     2.1     -0.1   490.0
  10:52:19.421   954.7     2.0     -0.1   500.0
  10:52:19.468   957.0     2.0     -0.1   500.0
  10:52:19.515   959.5     2.0     -0.1   500.0
  10:52:19.562   961.8     2.0     -0.1   500.0
  10:52:19.593   964.1     2.0     -0.1   500.0
  10:52:19.640   966.5     2.0     -0.1   500.0
  10:52:19.687   966.5     2.0     -0.1   500.0
  10:52:19.734   969.4     2.0     -0.1   500.0
  10:52:19.765   971.9     2.0     -0.1   500.0
  10:52:19.812   974.2     2.0     -0.1   500.0
  10:52:19.859   976.5     2.0     -0.1   500.0
  10:52:19.906   978.9     2.0     -0.1   500.0
  10:52:19.937   978.9     2.0     -0.1   500.0
  10:52:19.984   981.2     2.0     -0.1   500.0
  10:52:20.031   983.5     2.0     -0.1   500.0
  10:52:20.078   985.9     2.0     -0.1   500.0
  10:52:20.109   988.2     2.0     -0.1   500.0
  10:52:20.156   990.5     2.0     -0.1   500.0
  10:52:20.203   992.9     2.0     -0.1   500.0
  10:52:20.234   995.3     2.0     -0.1   500.0
  10:52:20.296   997.7     2.0     -0.1   500.0
  10:52:20.328  1000.0     2.0     -0.1   500.0
  10:52:20.375  1002.3     1.9     -0.1   500.0
  10:52:20.421  1002.3     1.9     -0.1   500.0
  10:52:20.468  1004.6     1.9     -0.1   500.0
  10:52:20.500  1006.9     1.9     -0.1   500.0
  10:52:20.546  1009.3     1.9     -0.1   500.0
  10:52:20.593  1011.7     1.9     -0.1   500.0
  10:52:20.625  1013.9     1.9     -0.1   500.0
  10:52:20.671  1016.3     1.9     -0.1   500.0
  10:52:20.718  1018.8     1.9     -0.1   500.0
  10:52:20.765  1020.9     1.9     -0.1   500.0
  10:52:20.812  1020.9     1.9     -0.1   500.0
  10:52:20.843  1023.3     1.9     -0.1   500.0
  10:52:20.906  1027.9     1.9     -0.1   500.0
  10:52:20.937  1027.9     1.9     -0.1   500.0
  10:52:20.984  1030.3     1.9     -0.1   500.0
  10:52:21.015  1032.7     1.9     -0.1   500.0
  10:52:21.062  1035.1     1.9     -0.1   500.0
  10:52:21.109  1037.4     1.9     -0.1   510.0
  10:52:21.156  1039.6     1.9     -0.1   500.0
  10:52:21.187  1042.1     1.9     -0.1   500.0
  10:52:21.234  1042.1     1.9     -0.1   500.0
  10:52:21.281  1046.7     1.9     -0.1   500.0
  10:52:21.328  1046.7     1.9     -0.1   500.0
  10:52:21.359  1049.0     1.8     -0.1   500.0
  10:52:21.406  1051.3     1.8     -0.1   500.0
  10:52:21.453  1053.7     1.8     -0.1   500.0
  10:52:21.500  1056.0     1.8     -0.1   500.0
  10:52:21.531  1058.5     1.8     -0.1   500.0
  10:52:21.578  1060.7     1.8     -0.1   510.0
  10:52:21.625  1063.1     1.8     -0.1   510.0
  10:52:21.671  1063.1     1.8     -0.1   510.0
  10:52:21.703  1065.4     1.8     -0.1   510.0
  10:52:21.750  1067.9     1.8     -0.1   510.0
  10:52:21.796  1070.1     1.8     -0.1   500.0
  10:52:21.843  1072.4     1.8     -0.1   500.0
  10:52:21.875  1074.9     1.8     -0.1   500.0
  10:52:21.921  1077.1     1.8     -0.1   500.0
  10:52:21.968  1079.5     1.8     -0.1   500.0
  10:52:22.015  1081.8     1.8     -0.1   500.0
  10:52:22.062  1084.1     1.8     -0.1   500.0
  10:52:22.093  1086.5     1.8     -0.1   500.0
  10:52:22.140  1086.5     1.8     -0.1   510.0
  10:52:22.187  1089.1     1.8     -0.1   510.0
  10:52:22.234  1091.1     1.8     -0.1   510.0
  10:52:22.265  1093.5     1.8     -0.1   500.0
  10:52:22.312  1096.0     1.8     -0.1   500.0
  10:52:22.343  1098.1     1.7     -0.1   510.0
  10:52:22.390  1098.1     1.7     -0.1   510.0
  10:52:22.421  1100.6     1.7     -0.1   500.0
  10:52:22.468  1102.8     1.7     -0.1   510.0
  10:52:22.515  1105.1     1.7     -0.1   510.0
  10:52:22.562  1107.6     1.7     -0.1   500.0
  10:52:22.593  1109.9     1.7     -0.1   510.0
  10:52:22.640  1112.2     1.7     -0.1   510.0
  10:52:22.671  1114.6     1.7     -0.1   510.0
  10:52:22.718  1114.6     1.7     -0.1   510.0
  10:52:22.765  1116.9     1.7     -0.1   510.0
  10:52:22.812  1119.3     1.7     -0.1   510.0
  10:52:22.843  1121.6     1.7     -0.1   510.0
  10:52:22.890  1124.0     1.7     -0.1   510.0
  10:52:22.953  1126.2     1.7     -0.1   510.0
  10:52:22.968  1128.5     1.7     -0.1   510.0
  10:52:23.015  1130.9     1.7     -0.1   510.0
  10:52:23.062  1133.3     1.7     -0.1   510.0
  10:52:23.109  1135.6     1.7     -0.1   510.0
  10:52:23.140  1135.6     1.7     -0.1   510.0
  10:52:23.187  1138.0     1.7     -0.1   510.0
  10:52:23.234  1140.2     1.7     -0.1   510.0
  10:52:23.281  1142.7     1.7     -0.1   510.0
  10:52:23.328  1145.0     1.6     -0.1   510.0
  10:52:23.375  1147.3     1.6     -0.1   510.0
  10:52:23.406  1149.6     1.6     -0.1   510.0
  10:52:23.453  1152.4     1.6     -0.1   510.0
  10:52:23.500  1154.3     1.6     -0.1   510.0
