Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: по часовой стрелке
Скорость движения: 50.0 мм/с
Рабочий дальномер: правый (Rf_R)
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, данные дальномера об объекте

          Time   X_rob   Y_rob  Ang_rob    Rf_R
  чч:мм:сс.ссс      мм      мм     град      мм
  11:49:52.484    -3.9   779.0     89.8   910.0
  11:49:52.531    -3.8   781.2     89.8   830.0
  11:49:52.562    -3.8   783.6     89.8   850.0
  11:49:52.609    -3.8   785.9     89.8   830.0
  11:49:52.656    -3.8   785.9     89.8   700.0
  11:49:52.703    -3.8   788.3     89.8   750.0
  11:49:52.734    -3.8   790.7     89.8   700.0
  11:49:52.781    -3.8   793.0     89.8   640.0
  11:49:52.828    -3.8   795.4     89.8   640.0
  11:49:52.875    -3.8   797.6     89.8   630.0
  11:49:52.906    -3.8   799.9     89.8   610.0
  11:49:52.953    -3.8   802.3     89.8   610.0
  11:49:53.000    -3.8   804.6     89.8   600.0
  11:49:53.046    -3.8   807.0     89.8   600.0
  11:49:53.109    -3.8   807.0     89.8   640.0
  11:49:53.125    -3.8   809.5     89.8   600.0
  11:49:53.171    -3.7   812.5     89.8   570.0
  11:49:53.203    -3.7   814.8     89.8   590.0
  11:49:53.250    -3.7   814.8     89.8   570.0
  11:49:53.296    -3.7   817.1     89.8   570.0
  11:49:53.328    -3.7   819.4     89.8   570.0
  11:49:53.375    -3.7   821.8     89.8   560.0
  11:49:53.421    -3.7   824.2     89.8   560.0
  11:49:53.453    -3.7   826.4     89.8   560.0
  11:49:53.500    -3.7   828.8     89.8   530.0
  11:49:53.531    -3.7   831.3     89.8   530.0
  11:49:53.578    -3.7   833.5     89.8   530.0
  11:49:53.593    -3.7   833.5     89.8   510.0
  11:49:53.640    -3.7   835.8     89.8   510.0
  11:49:53.687    -3.7   838.2     89.8   520.0
  11:49:53.734    -3.7   840.6     89.8   560.0
  11:49:53.781    -3.7   842.9     89.8   510.0
  11:49:53.828    -3.7   842.9     89.8   510.0
  11:49:53.859    -3.7   845.1     89.8   490.0
  11:49:53.906    -3.6   847.5     89.8   490.0
  11:49:53.953    -3.6   849.9     89.8   490.0
  11:49:53.984    -3.6   852.3     89.8   480.0
  11:49:54.031    -3.6   854.5     89.8   470.0
  11:49:54.078    -3.6   857.0     89.8   470.0
  11:49:54.125    -3.6   859.2     89.8   460.0
  11:49:54.156    -3.6   861.6     89.8   460.0
  11:49:54.203    -3.6   863.9     89.8   460.0
  11:49:54.250    -3.6   863.9     89.8   450.0
  11:49:54.281    -3.6   866.3     89.8   440.0
  11:49:54.328    -3.6   868.5     89.8   440.0
  11:49:54.359    -3.6   871.0     89.8   430.0
  11:49:54.406    -3.6   873.3     89.8   430.0
  11:49:54.453    -3.6   875.6     89.8   430.0
  11:49:54.484    -3.6   875.6     89.8   430.0
  11:49:54.531    -3.6   878.0     89.8   420.0
  11:49:54.578    -3.5   880.3     89.8   420.0
  11:49:54.625    -3.5   882.7     89.8   410.0
  11:49:54.656    -3.5   885.0     89.8   410.0
  11:49:54.703    -3.5   887.3     89.8   410.0
  11:49:54.734    -3.5   889.7     89.8   400.0
  11:49:54.781    -3.5   892.0     89.8   400.0
  11:49:54.828    -3.5   894.3     89.8   410.0
  11:49:54.875    -3.5   894.3     89.8   410.0
  11:49:54.921    -3.5   899.4     89.8   410.0
  11:49:54.953    -3.5   899.4     89.8   410.0
  11:49:55.000    -3.5   901.4     89.8   420.0
  11:49:55.046    -3.5   903.7     89.8   420.0
  11:49:55.093    -3.5   906.1     89.8   420.0
  11:49:55.125    -3.5   908.3     89.8   430.0
  11:49:55.171    -3.5   910.6     89.8   430.0
  11:49:55.218    -3.4   913.0     89.8   430.0
  11:49:55.250    -3.4   913.0     89.8   440.0
  11:49:55.296    -3.4   915.4     89.8   440.0
  11:49:55.343    -3.4   917.7     89.8   440.0
  11:49:55.390    -3.4   920.0     89.8   450.0
  11:49:55.437    -3.4   922.4     89.8   440.0
  11:49:55.468    -3.4   924.8     89.8   450.0
  11:49:55.515    -3.4   927.1     89.8   450.0
  11:49:55.562    -3.4   929.4     89.8   450.0
  11:49:55.609    -3.4   931.7     89.8   460.0
  11:49:55.640    -3.4   934.2     89.8   460.0
  11:49:55.687    -3.4   934.2     89.8   460.0
  11:49:55.734    -3.4   936.4     89.8   470.0
  11:49:55.765    -3.4   938.8     89.8   470.0
  11:49:55.828    -3.4   941.1     89.8   470.0
  11:49:55.859    -3.4   943.4     89.8   470.0
  11:49:55.906    -3.3   945.9     89.8   480.0
  11:49:55.953    -3.3   948.3     89.8   480.0
  11:49:56.000    -3.3   950.6     89.8   490.0
  11:49:56.031    -3.3   952.8     89.8   490.0
  11:49:56.078    -3.3   955.2     89.8   490.0
  11:49:56.125    -3.3   957.5     89.8   490.0
  11:49:56.171    -3.3   959.8     89.8   490.0
  11:49:56.203    -3.3   959.8     89.8   490.0
  11:49:56.250    -3.3   962.1     89.8   490.0
  11:49:56.296    -3.3   964.6     89.8   510.0
  11:49:56.343    -3.3   966.9     89.8   500.0
  11:49:56.375    -3.3   969.2     89.8   510.0
  11:49:56.421    -3.3   971.5     89.8   510.0
  11:49:56.468    -3.3   973.9     89.8   510.0
  11:49:56.515    -3.3   976.3     89.8   510.0
  11:49:56.546    -3.2   978.6     89.8   520.0
  11:49:56.593    -3.2   978.6     89.8   520.0
  11:49:56.640    -3.2   981.0     89.8   520.0
  11:49:56.687    -3.2   983.3     89.8   520.0
  11:49:56.718    -3.2   985.6     89.8   520.0
  11:49:56.765    -3.2   987.9     89.8   540.0
  11:49:56.812    -3.2   990.3     89.8   550.0
  11:49:56.843    -3.2   992.5     89.8   540.0
  11:49:56.890    -3.2   994.9     89.8   540.0
  11:49:56.937    -3.2   997.3     89.8   540.0
  11:49:56.984    -3.2   997.3     89.8   540.0
  11:49:57.015    -3.2   999.7     89.8   550.0
  11:49:57.062    -3.2  1001.9     89.8   560.0
  11:49:57.109    -3.2  1004.2     89.8   560.0
  11:49:57.156    -3.2  1006.5     89.8   560.0
  11:49:57.203    -3.2  1009.0     89.8   560.0
  11:49:57.234    -3.1  1011.3     89.8   560.0
  11:49:57.281    -3.1  1013.7     89.8   560.0
  11:49:57.328    -3.1  1015.9     89.8   580.0
  11:49:57.359    -3.1  1015.9     89.8   580.0
  11:49:57.406    -3.1  1018.3     89.8   580.0
  11:49:57.453    -3.1  1020.7     89.8   580.0
  11:49:57.500    -3.1  1023.1     89.8   580.0
  11:49:57.546    -3.1  1025.3     89.8   580.0
  11:49:57.578    -3.1  1027.6     89.8   580.0
  11:49:57.625    -3.1  1030.1     89.8   580.0
  11:49:57.671    -3.1  1032.4     89.8   580.0
