Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: квадрат
Направление движения: против часовой стрелки
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)

Выходная информация: положение робота, координаты точек объекта

          Time   X_rob   Y_rob  Ang_rob   X_obj   Y_obj
  чч:мм:сс.ссс      мм      мм     град      мм      мм
  13:00:42.375   824.1     2.1     -0.1   706.0  1013.4
  13:00:42.406   826.9     2.1     -0.1   708.8  1013.4
  13:00:42.468   829.2     2.1     -0.1   711.0   973.3
  13:00:42.500   831.7     2.1     -0.1   713.5   973.3
  13:00:42.546   833.9     2.1     -0.1   715.7   973.3
  13:00:42.593   836.2     2.1     -0.1   717.8   833.3
  13:00:42.640   838.5     2.1     -0.1   720.1   813.3
  13:00:42.671   840.9     2.1     -0.1   722.5   813.3
  13:00:42.734   843.3     2.1     -0.1   724.7   773.3
  13:00:42.765   845.6     2.1     -0.1   727.0   773.3
  13:00:42.812   845.6     2.1     -0.1   727.0   773.3
  13:00:42.859   848.0     2.1     -0.1   729.4   763.3
  13:00:42.890   850.3     2.1     -0.1   731.7   763.3
  13:00:42.937   852.6     2.1     -0.1   734.0   763.3
  13:00:42.984   854.9     2.1     -0.1   736.3   743.3
  13:00:43.015   857.3     2.1     -0.1   738.7   733.3
  13:00:43.062   859.7     2.1     -0.1   741.1   743.3
  13:00:43.109   861.9     2.1     -0.1   743.3   733.3
  13:00:43.156   864.3     2.1     -0.1   745.6   713.3
  13:00:43.187   866.8     2.1     -0.1   748.1   713.3
  13:00:43.234   869.0     2.1     -0.1   750.3   703.3
  13:00:43.281   869.0     2.1     -0.1   750.3   703.3
  13:00:43.328   871.2     2.0     -0.1   752.5   703.3
  13:00:43.375   873.5     2.0     -0.1   754.8   683.3
  13:00:43.406   876.0     2.0     -0.1   757.2   683.3
  13:00:43.453   878.3     2.0     -0.1   759.6   683.3
  13:00:43.500   880.6     2.0     -0.1   761.8   673.3
  13:00:43.546   880.6     2.0     -0.1   761.8   673.3
  13:00:43.593   883.2     2.0     -0.1   764.5   673.2
  13:00:43.625   886.0     2.0     -0.1   767.2   653.2
  13:00:43.671   888.4     2.0     -0.1   769.6   643.2
  13:00:43.718   890.8     2.0     -0.1   772.0   643.2
  13:00:43.750   893.3     2.0     -0.1   774.5   643.2
  13:00:43.796   895.4     2.0     -0.1   776.6   633.2
  13:00:43.843   897.8     2.0     -0.1   778.9   633.2
  13:00:43.890   900.1     2.0     -0.1   781.2   633.2
  13:00:43.921   902.5     2.0     -0.1   783.7   623.2
  13:00:43.968   902.5     2.0     -0.1   783.7   623.2
  13:00:44.015   904.7     2.0     -0.1   785.9   603.2
  13:00:44.062   907.2     2.0     -0.1   788.3   603.2
  13:00:44.093   909.5     2.0     -0.1   790.6   603.2
  13:00:44.140   911.8     2.0     -0.1   792.9   593.2
  13:00:44.187   914.1     2.0     -0.1   795.2   593.2
  13:00:44.234   916.5     2.0     -0.1   797.6   593.2
  13:00:44.265   918.9     2.0     -0.1   800.0   573.2
  13:00:44.312   921.1     2.0     -0.1   802.2   573.2
  13:00:44.359   921.1     2.0     -0.1   802.2   573.2
  13:00:44.390   923.5     2.0     -0.1   804.6   573.2
  13:00:44.437   925.8     1.9     -0.1   806.9   573.2
  13:00:44.468   928.2     1.9     -0.1   809.3   573.2
  13:00:44.515   930.5     1.9     -0.1   811.6   573.2
  13:00:44.562   932.9     1.9     -0.1   813.9   573.2
  13:00:44.609   935.3     1.9     -0.1   816.3   573.2
  13:00:44.656   937.6     1.9     -0.1   818.7   573.1
  13:00:44.687   937.6     1.9     -0.1   818.7   573.1
  13:00:44.734   939.9     1.9     -0.1   821.0   573.1
  13:00:44.781   942.2     1.9     -0.1   823.2   573.1
  13:00:44.828   944.5     1.9     -0.1   825.6   573.1
  13:00:44.875   946.9     1.9     -0.1   828.0   573.1
  13:00:44.906   949.3     1.9     -0.1   830.4   573.1
  13:00:44.968   951.6     1.9     -0.1   832.7   573.1
  13:00:45.000   954.0     1.9     -0.1   835.1   573.1
  13:00:45.031   956.3     1.9     -0.1   837.4   573.1
  13:00:45.078   958.6     1.9     -0.1   839.7   573.1
  13:00:45.109   958.6     1.9     -0.1   839.7   573.1
  13:00:45.156   960.9     1.9     -0.1   842.0   573.1
  13:00:45.203   963.3     1.9     -0.1   844.3   573.1
  13:00:45.234   965.6     1.9     -0.1   846.7   583.1
  13:00:45.281   968.0     1.9     -0.1   849.1   583.1
  13:00:45.328   970.3     1.9     -0.1   851.4   583.1
  13:00:45.375   972.7     1.9     -0.1   853.8   583.1
  13:00:45.406   974.9     1.9     -0.1   856.0   583.1
  13:00:45.453   974.9     1.9     -0.1   856.0   583.1
  13:00:45.500   977.3     1.9     -0.1   858.4   583.1
  13:00:45.546   979.7     1.8     -0.1   860.8   583.1
  13:00:45.578   982.0     1.8     -0.1   863.0   583.1
  13:00:45.625   984.3     1.8     -0.1   865.4   583.1
  13:00:45.671   986.7     1.8     -0.1   867.8   583.1
  13:00:45.718   989.1     1.8     -0.1   870.1   583.1
  13:00:45.781   991.3     1.8     -0.1   872.4   583.0
  13:00:45.796   993.6     1.8     -0.1   874.7   583.0
  13:00:45.843   996.1     1.8     -0.1   877.2   583.0
  13:00:45.890   996.1     1.8     -0.1   877.2   583.0
  13:00:45.921   998.4     1.8     -0.1   879.5   583.0
  13:00:45.953  1000.8     1.8     -0.1   881.8   583.0
  13:00:46.000  1003.0     1.8     -0.1   884.1   583.0
  13:00:46.046  1005.4     1.8     -0.1   886.5   593.0
  13:00:46.093  1007.7     1.8     -0.1   888.8   593.0
  13:00:46.140  1010.1     1.8     -0.1   891.2   593.0
  13:00:46.187  1012.4     1.8     -0.1   893.5   593.0
  13:00:46.218  1012.4     1.8     -0.1   893.5   593.0
  13:00:46.265  1014.8     1.8     -0.1   895.9   593.0
  13:00:46.296  1017.1     1.8     -0.1   898.2   593.0
