Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: отрезок
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)

Выходная информация: положение робота, координаты точек объекта

          Time   X_rob  Y_rob  Ang_rob   X_obj   Y_obj
  чч:мм:сс.ссс      мм     мм     град      мм      мм
  12:45:08.859    31.8    0.0      0.0   -88.2  1211.0
  12:45:08.906    34.1    0.0      0.0   -85.9  1151.0
  12:45:08.953    36.5    0.0      0.0   -83.5  1151.0
  12:45:08.984    38.8    0.0      0.0   -81.2  1061.0
  12:45:09.031    41.1    0.0      0.0   -78.9  1031.0
  12:45:09.078    43.6    0.0      0.0   -76.4  1031.0
  12:45:09.125    45.8    0.0      0.0   -74.2  1021.0
  12:45:09.171    48.3    0.0      0.0   -71.7  1021.0
  12:45:09.218    50.4    0.0      0.0   -69.6  1021.0
  12:45:09.265    52.9    0.0      0.0   -67.1   991.0
  12:45:09.296    55.2    0.0      0.0   -64.8   981.0
  12:45:09.343    55.2    0.0      0.0   -64.8   981.0
  12:45:09.375    57.5    0.0      0.0   -62.5   971.0
  12:45:09.421    59.9    0.0      0.0   -60.1   971.0
  12:45:09.468    62.2    0.0      0.0   -57.8   971.0
  12:45:09.515    64.5    0.0      0.0   -55.5   941.0
  12:45:09.562    66.8    0.0      0.0   -53.2   941.0
  12:45:09.593    69.3    0.0      0.0   -50.7  1051.0
  12:45:09.625    69.3    0.0      0.0   -50.7  1081.0
  12:45:09.671    71.5    0.0      0.0   -48.5   981.0
  12:45:09.718    74.0    0.0      0.0   -46.0   981.0
  12:45:09.750    76.2    0.0      0.0   -43.8   981.0
  12:45:09.796    78.5    0.0      0.0   -41.5   951.0
  12:45:09.843    80.8    0.0      0.0   -39.2   961.0
  12:45:09.875    83.2    0.0      0.0   -36.8   951.0
  12:45:09.906    83.2    0.0      0.0   -36.8   941.0
  12:45:09.953    85.5    0.0      0.0   -34.5   941.0
  12:45:10.000    87.9    0.0      0.0   -32.1   941.0
  12:45:10.046    90.3    0.0      0.0   -29.7   931.0
  12:45:10.078    92.8    0.0      0.0   -27.2   931.0
  12:45:10.125    92.8    0.0      0.0   -27.2   931.0
  12:45:10.171    95.8    0.0      0.0   -24.2   921.0
  12:45:10.218    98.0    0.0      0.0   -22.0   921.0
  12:45:10.265   100.4    0.0      0.0   -19.6   921.0
  12:45:10.296   102.9    0.0      0.0   -17.1   921.0
  12:45:10.343   105.1    0.0      0.0   -14.9   921.0
  12:45:10.390   107.4    0.0      0.0   -12.6   921.0
  12:45:10.421   109.8    0.0      0.0   -10.2   901.0
  12:45:10.484   112.2    0.0      0.0    -7.8   901.0
  12:45:10.515   114.4    0.0      0.0    -5.6   901.0
  12:45:10.546   114.4    0.0      0.0    -5.6   901.0
  12:45:10.593   116.8    0.0      0.0    -3.2   931.0
  12:45:10.640   119.2    0.0      0.0    -0.8   901.0
  12:45:10.687   121.4    0.0      0.0     1.4   901.0
  12:45:10.734   123.7    0.0      0.0     3.7   901.0
  12:45:10.765   126.1    0.0      0.0     6.1   881.0
  12:45:10.812   128.5    0.0      0.0     8.5   871.0
  12:45:10.875   130.8    0.0      0.0    10.8   871.0
  12:45:10.906   133.3    0.0      0.0    13.3   871.0
  12:45:10.937   135.5    0.0      0.0    15.5   871.0
  12:45:10.984   135.5    0.0      0.0    15.5   871.0
  12:45:11.031   137.8    0.0      0.0    17.8   861.0
  12:45:11.078   140.2    0.0      0.0    20.2   861.0
  12:45:11.109   142.5    0.0      0.0    22.5   861.0
  12:45:11.156   144.8    0.0      0.0    24.8   851.0
  12:45:11.203   147.2    0.0      0.0    27.2   841.0
  12:45:11.234   149.5    0.0      0.0    29.5   851.0
  12:45:11.296   151.8    0.0      0.0    31.8   841.0
  12:45:11.328   154.1    0.0      0.0    34.1   841.0
  12:45:11.375   154.1    0.0      0.0    34.1   841.0
  12:45:11.406   156.6    0.0      0.0    36.6   841.0
  12:45:11.453   158.9    0.0      0.0    38.9   831.0
  12:45:11.500   161.3    0.0      0.0    41.3   841.0
  12:45:11.546   163.6    0.0      0.0    43.6   881.0
  12:45:11.578   165.9    0.0      0.0    45.9   831.0
  12:45:11.625   168.3    0.0      0.0    48.3   831.0
  12:45:11.671   170.5    0.0      0.0    50.5   831.0
  12:45:11.718   172.8    0.0      0.0    52.8   821.0
  12:45:11.750   175.2    0.0      0.0    55.2   821.0
  12:45:11.796   175.2    0.0      0.0    55.2   811.0
  12:45:11.843   177.7    0.0      0.0    57.7   801.0
  12:45:11.890   179.9    0.0      0.0    59.9   811.0
  12:45:11.921   182.3    0.0      0.0    62.3   801.0
  12:45:11.968   184.6    0.0      0.0    64.6   801.0
  12:45:12.015   187.0    0.0      0.0    67.0   801.0
  12:45:12.062   189.3    0.0      0.0    69.3   801.0
  12:45:12.093   191.7    0.0      0.0    71.7   801.0
  12:45:12.140   194.0    0.0      0.0    74.0   801.0
  12:45:12.187   196.3    0.0      0.0    76.3   801.0
  12:45:12.234   196.3    0.0      0.0    76.3   801.0
  12:45:12.281   198.7    0.0      0.0    78.7   801.0
  12:45:12.312   200.9    0.0      0.0    80.9   801.0
  12:45:12.359   203.3    0.0      0.0    83.3   791.0
  12:45:12.406   205.6    0.0      0.0    85.6   791.0
  12:45:12.453   208.0    0.0      0.0    88.0   791.0
  12:45:12.484   210.3    0.0      0.0    90.3   791.0
  12:45:12.531   212.7    0.0      0.0    92.7   791.0
  12:45:12.578   215.0    0.0      0.0    95.0   791.0
  12:45:12.625   217.4    0.0      0.0    97.4   791.0
  12:45:12.656   217.4    0.0      0.0    97.4   791.0
  12:45:12.703   219.7    0.0      0.0    99.7   771.0
  12:45:12.750   222.0    0.0      0.0   102.0   761.0
  12:45:12.796   225.2    0.0      0.0   105.2   761.0
  12:45:12.828   227.4    0.0      0.0   107.4   761.0
  12:45:12.875   229.9    0.0      0.0   109.9   761.0
  12:45:12.921   229.9    0.0      0.0   109.9   761.0
  12:45:12.968   232.1    0.0      0.0   112.1   751.0
  12:45:13.000   234.5    0.0      0.0   114.5   751.0
  12:45:13.046   236.9    0.0      0.0   116.9   751.0
  12:45:13.093   239.2    0.0      0.0   119.2   751.0
  12:45:13.140   241.4    0.0      0.0   121.4   741.0
  12:45:13.187   243.9    0.0      0.0   123.9   741.0
  12:45:13.218   246.2    0.0      0.0   126.2   731.0
  12:45:13.265   248.6    0.0      0.0   128.6   731.0
  12:45:13.312   250.9    0.0      0.0   130.9   731.0
  12:45:13.359   253.4    0.0      0.0   133.4   731.0
  12:45:13.406   253.4    0.0      0.0   133.4   721.0
  12:45:13.437   255.6    0.0      0.0   135.6   731.0
  12:45:13.484   257.9    0.0      0.0   137.9   731.0
  12:45:13.531   260.2    0.0      0.0   140.2   721.0
  12:45:13.562   262.6    0.0      0.0   142.6   721.0
  12:45:13.609   264.9    0.0      0.0   144.9   721.0
  12:45:13.656   267.3    0.0      0.0   147.3   711.0
  12:45:13.703   269.6    0.0      0.0   149.6   711.0
