Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 360.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 0.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob   X_Rf_L   Y_Rf_L   X_Rf_F   Y_Rf_F   X_Rf_R   Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град       мм       мм       мм       мм       мм       мм
  13:26:46.906    0.0    0.0    173.1      n/a      n/a      n/a      n/a    219.6   1265.7
  13:26:50.031    0.0    0.0    157.8      n/a      n/a  -1147.9    469.1      n/a      n/a
  13:26:51.656    0.0    0.0    149.8      n/a      n/a  -1011.4    588.1      n/a      n/a
  13:26:52.296    0.0    0.0    146.8      n/a      n/a      n/a      n/a    762.8   1046.0
  13:26:52.343    0.0    0.0    146.5   -611.6  -1143.2      n/a      n/a      n/a      n/a
  13:26:52.390    0.0    0.0    146.3   -633.0  -1165.6      n/a      n/a      n/a      n/a
  13:26:52.421    0.0    0.0    146.1   -626.4  -1146.6      n/a      n/a    781.1   1045.0
  13:26:52.468    0.0    0.0    145.9   -608.6  -1110.9      n/a      n/a    790.8   1050.1
  13:26:52.515    0.0    0.0    145.6   -618.9  -1116.6      n/a      n/a    744.4    972.5
  13:26:52.546    0.0    0.0    145.4   -612.2  -1097.6      n/a      n/a    776.9   1010.5
  13:26:52.593    0.0    0.0    145.2   -627.7  -1111.7      n/a      n/a      n/a      n/a
  13:26:52.640    0.0    0.0    145.2   -610.6  -1087.0      n/a      n/a      n/a      n/a
  13:26:52.671    0.0    0.0    144.9   -615.1  -1084.5      n/a      n/a      n/a      n/a
  13:26:52.718    0.0    0.0    144.7   -602.3  -1057.4      n/a      n/a      n/a      n/a
  13:26:52.750    0.0    0.0    144.4   -606.8  -1054.9      n/a      n/a      n/a      n/a
  13:26:52.796    0.0    0.0    144.2   -605.1  -1044.3      n/a      n/a    809.0   1010.8
  13:26:52.843    0.0    0.0    144.0   -621.0  -1058.1      n/a      n/a    777.7    959.0
  13:26:52.859    0.0    0.0    144.0   -615.2  -1050.0      n/a      n/a    783.6    967.1
  13:26:52.906    0.0    0.0    143.7   -619.4  -1047.5   -999.9    733.4      n/a      n/a
  13:26:52.968    0.0    0.0    143.5   -629.9  -1052.9      n/a      n/a    839.2   1024.8
  13:26:53.000    0.0    0.0    143.3   -634.1  -1050.3      n/a      n/a      n/a      n/a
  13:26:53.046    0.0    0.0    143.0   -632.3  -1039.7      n/a      n/a    811.4    970.0
  13:26:53.093    0.0    0.0    142.8   -624.3  -1021.4      n/a      n/a    827.2    982.8
  13:26:53.140    0.0    0.0    142.6   -659.0  -1058.4      n/a      n/a    819.3    963.4
  13:26:53.187    0.0    0.0    142.3   -657.0  -1047.9      n/a      n/a    823.0    960.2
  13:26:53.203    0.0    0.0    142.3   -638.7  -1024.2      n/a      n/a    816.9    952.3
  13:26:53.250    0.0    0.0    142.1   -661.4  -1045.1      n/a      n/a    839.4    972.5
  13:26:53.281    0.0    0.0    141.9   -653.4  -1026.6      n/a      n/a    824.9    945.4
  13:26:53.328    0.0    0.0    141.6   -657.5  -1024.0      n/a      n/a      n/a      n/a
  13:26:53.375    0.0    0.0    141.4   -668.1  -1029.0      n/a      n/a    813.9    915.2
  13:26:53.421    0.0    0.0    141.2   -659.6  -1010.8      n/a      n/a    830.1    927.5
  13:26:53.453    0.0    0.0    140.9   -676.2  -1023.7      n/a      n/a      n/a      n/a
  13:26:53.484    0.0    0.0    140.9   -669.9  -1015.9      n/a      n/a    802.2    885.4
  13:26:53.531    0.0    0.0    140.7   -661.4   -997.7      n/a      n/a    774.1    843.4
  13:26:53.578    0.0    0.0    140.5   -678.2  -1010.4      n/a      n/a      n/a      n/a
  13:26:53.609    0.0    0.0    140.2   -682.5  -1007.5      n/a      n/a    838.8    906.1
  13:26:53.656    0.0    0.0    140.0   -673.7   -989.4      n/a      n/a    836.0    895.0
  13:26:53.703    0.0    0.0    139.8   -677.6   -986.8      n/a      n/a    813.7    861.2
  13:26:53.750    0.0    0.0    139.5   -694.7   -999.1      n/a      n/a    869.2    918.6
  13:26:53.781    0.0    0.0    139.5   -681.8   -983.9      n/a      n/a    882.2    933.8
  13:26:53.812    0.0    0.0    139.5   -694.7   -999.1      n/a      n/a    849.8    895.8
  13:26:53.843    0.0    0.0    139.2   -693.5   -987.8      n/a      n/a    854.5    891.3
  13:26:53.890    0.0    0.0    139.0   -691.1   -977.4      n/a      n/a    838.5    865.0
  13:26:53.937    0.0    0.0    138.7   -708.3   -989.6      n/a      n/a    842.1    861.6
  13:26:53.984    0.0    0.0    138.5   -685.8   -956.8      n/a      n/a    845.5    858.2
  13:26:54.015    0.0    0.0    138.3   -683.0   -946.5      n/a      n/a    882.4    892.0
  13:26:54.062    0.0    0.0    138.1   -673.4   -928.9      n/a      n/a    872.5    873.7
  13:26:54.109    0.0    0.0    137.8   -663.7   -911.3      n/a      n/a    896.1    892.4
  13:26:54.140    0.0    0.0    137.8   -690.6   -941.0      n/a      n/a    923.0    922.0
  13:26:54.171    0.0    0.0    137.6   -694.4   -938.1      n/a      n/a    845.8    829.6
  13:26:54.218    0.0    0.0    137.3   -684.8   -920.5      n/a      n/a    903.5    884.9
  13:26:54.265    0.0    0.0    137.0   -710.2   -938.7      n/a      n/a    847.0    814.1
  13:26:54.312    0.0    0.0    136.8   -707.1   -928.6      n/a      n/a    918.7    883.6
  13:26:54.343    0.0    0.0    136.8   -707.1   -928.6      n/a      n/a    925.5    890.9
  13:26:54.406    0.0    0.0    136.6   -704.1   -918.4      n/a      n/a    881.0    836.3
  13:26:54.437    0.0    0.0    136.3   -687.1   -893.8      n/a      n/a    843.1    789.2
  13:26:54.468    0.0    0.0    136.1   -718.5   -919.9      n/a      n/a    880.9    821.9
  13:26:54.515    0.0    0.0    135.9   -722.3   -916.9      n/a      n/a    926.1    861.3
  13:26:54.562    0.0    0.0    135.6   -711.9   -899.7      n/a      n/a    880.6    807.5
  13:26:54.609    0.0    0.0    135.4   -750.9   -932.2      n/a      n/a    933.2    853.5
  13:26:54.625    0.0    0.0    135.4   -722.9   -903.7      n/a      n/a    933.2    853.5
  13:26:54.671    0.0    0.0    135.2   -705.3   -879.6      n/a      n/a    915.4    828.5
  13:26:54.718    0.0    0.0    134.9   -723.0   -890.8      n/a      n/a    890.5    796.6
  13:26:54.750    0.0    0.0    134.7   -740.9   -901.9      n/a      n/a    893.8    792.9
  13:26:54.796    0.0    0.0    134.5   -751.8   -905.8      n/a      n/a    911.4    803.1
  13:26:54.843    0.0    0.0    134.2   -733.8   -881.9      n/a      n/a    871.5    757.7
  13:26:54.875    0.0    0.0    134.2   -741.0   -888.9      n/a      n/a    943.1    827.5
  13:26:54.921    0.0    0.0    134.0   -751.8   -892.8      n/a      n/a    903.3    782.0
  13:26:54.968    0.0    0.0    133.8   -740.9   -876.0      n/a      n/a    906.4    778.4
  13:26:55.000    0.0    0.0    133.5   -759.2   -886.6      n/a      n/a    917.0    781.3
  13:26:55.046    0.0    0.0    133.3   -762.7   -883.5      n/a      n/a    891.0    750.2
  13:26:55.078    0.0    0.0    133.0   -751.9   -866.5      n/a      n/a    894.3    746.4
  13:26:55.125    0.0    0.0    132.8   -770.0   -877.2      n/a      n/a    882.5    729.2
  13:26:55.171    0.0    0.0    132.6   -773.5   -874.1      n/a      n/a    907.5    746.1
  13:26:55.218    0.0    0.0    132.4   -762.3   -857.4      n/a      n/a    918.0    749.0
  13:26:55.265    0.0    0.0    132.4   -799.2   -891.1      n/a      n/a    925.4    755.8
  13:26:55.296    0.0    0.0    132.1   -780.5   -867.8      n/a      n/a    920.9    745.4
  13:26:55.343    0.0    0.0    131.9   -784.1   -864.6      n/a      n/a    953.8    768.3
  13:26:55.375    0.0    0.0    131.7   -765.3   -841.3      n/a      n/a    919.7    731.0
  13:26:55.421    0.0    0.0    131.4   -783.7   -851.5      n/a      n/a    900.1    707.5
  13:26:55.468    0.0    0.0    131.2   -764.6   -828.5      n/a      n/a    865.4    670.8
  13:26:55.515    0.0    0.0    131.0   -798.0   -851.7      n/a      n/a    951.0    739.6
  13:26:55.546    0.0    0.0    131.0   -820.7   -871.4      n/a      n/a    951.0    739.6
  13:26:55.578    0.0    0.0    130.7   -809.1   -854.9      n/a      n/a    931.4    716.0
  13:26:55.609    0.0    0.0    130.5   -858.4   -890.5      n/a      n/a    972.4    744.6
  13:26:55.656    0.0    0.0    130.2   -793.4   -828.7      n/a      n/a    937.3    708.2
  13:26:55.687    0.0    0.0    130.2   -793.4   -828.7      n/a      n/a    952.6    721.1
  13:26:55.718    0.0    0.0    130.0   -804.3   -832.0      n/a      n/a    901.8    672.4
  13:26:55.750    0.0    0.0    129.8   -754.0   -783.9      n/a      n/a    904.6    668.6
  13:26:55.796    0.0    0.0    129.6   -841.8   -851.0      n/a      n/a    922.6    677.8
  13:26:55.828    0.0    0.0    129.6   -841.8   -851.0      n/a      n/a    961.2    709.6
  13:26:55.875    0.0    0.0    129.3   -845.4   -847.5      n/a      n/a    925.4    674.0
  13:26:55.921    0.0    0.0    129.1      n/a      n/a      n/a      n/a    943.7    682.8
  13:26:55.968    0.0    0.0    128.9      n/a      n/a      n/a      n/a    954.2    685.4
  13:26:56.000    0.0    0.0    128.6      n/a      n/a      n/a      n/a    918.0    650.0
