Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 90.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 0.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob  X_Rf_L  Y_Rf_L  X_Rf_F   Y_Rf_F   X_Rf_R  Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град      мм      мм      мм       мм       мм      мм
  16:36:59.562    0.0    0.0    -14.7   188.3  1192.2     n/a      n/a      n/a     n/a
  16:36:59.609    0.0    0.0    -14.9   193.3  1191.4     n/a      n/a      n/a     n/a
  16:36:59.656    0.0    0.0    -15.2   174.7  1103.7     n/a      n/a      n/a     n/a
  16:36:59.687    0.0    0.0    -15.4   176.4  1093.4     n/a      n/a      n/a     n/a
  16:36:59.734    0.0    0.0    -15.6   180.9  1092.6     n/a      n/a      n/a     n/a
  16:36:59.781    0.0    0.0    -15.9   182.6  1082.3     n/a      n/a      n/a     n/a
  16:36:59.812    0.0    0.0    -16.1   186.9  1081.5     n/a      n/a      n/a     n/a
  16:36:59.859    0.0    0.0    -16.3   191.4  1080.8     n/a      n/a      n/a     n/a
  16:36:59.906    0.0    0.0    -16.6   193.0  1070.4     n/a      n/a      n/a     n/a
  16:36:59.953    0.0    0.0    -16.6   193.0  1070.4     n/a      n/a      n/a     n/a
  16:36:59.984    0.0    0.0    -16.8   203.4  1088.7     n/a      n/a      n/a     n/a
  16:37:00.031    0.0    0.0    -17.0   204.7  1078.3     n/a      n/a      n/a     n/a
  16:37:00.078    0.0    0.0    -17.3   209.2  1077.5     n/a      n/a      n/a     n/a
  16:37:00.125    0.0    0.0    -17.5   213.4  1076.6     n/a      n/a      n/a     n/a
  16:37:00.171    0.0    0.0    -17.7   217.8  1075.8     n/a      n/a      n/a     n/a
  16:37:00.203    0.0    0.0    -18.0   219.1  1065.3     n/a      n/a      n/a     n/a
  16:37:00.250    0.0    0.0    -18.2   223.5  1064.4     n/a      n/a      n/a     n/a
  16:37:00.296    0.0    0.0    -18.4   227.7  1063.5     n/a      n/a      n/a     n/a
  16:37:00.343    0.0    0.0    -18.7   229.0  1053.1     n/a      n/a      n/a     n/a
  16:37:00.390    0.0    0.0    -18.7   229.0  1053.1     n/a      n/a      n/a     n/a
  16:37:00.421    0.0    0.0    -18.9   237.1  1061.5     n/a      n/a      n/a     n/a
  16:37:00.468    0.0    0.0    -19.2   235.6  1041.5  1171.0   -407.7      n/a     n/a
  16:37:00.515    0.0    0.0    -19.4   246.5  1059.3  1169.4   -412.6      n/a     n/a
  16:37:00.562    0.0    0.0    -19.7   244.4  1039.4  1054.6   -377.2      n/a     n/a
  16:37:00.593    0.0    0.0    -19.9   248.4  1038.5  1043.7   -377.9      n/a     n/a
  16:37:00.640    0.0    0.0    -20.1   252.5  1037.5  1042.2   -382.0      n/a     n/a
