Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 180.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 90.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob   X_Rf_L  Y_Rf_L  X_Rf_F   Y_Rf_F   X_Rf_R   Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град       мм      мм      мм       мм       мм       мм
  18:13:00.187    0.0    0.0     90.0      n/a     n/a     0.4    750.0    793.0    -65.4
  18:13:00.234    0.0    0.0     90.0      n/a     n/a     0.4    760.0    803.0    -65.4
  18:13:00.265    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.312    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.359    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.406    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.437    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.484    0.0    0.0     90.0      n/a     n/a     0.4    760.0    803.0    -65.4
  18:13:00.531    0.0    0.0     90.0  -1241.1  -119.4     0.4    760.0    803.0    -65.4
  18:13:00.578    0.0    0.0     90.0  -1241.1  -119.4     0.4    760.0    793.0    -65.4
  18:13:00.625    0.0    0.0     90.0      n/a     n/a     0.4    760.0    803.0    -65.4
  18:13:00.671    0.0    0.0     90.0      n/a     n/a     0.4    760.0    793.0    -65.4
  18:13:00.703    0.0    0.0     90.0  -1281.1  -119.3     0.4    760.0    793.0    -65.4
