Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 90.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 90.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob   X_Rf_L  Y_Rf_L  X_Rf_F  Y_Rf_F  X_Rf_R   Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град       мм      мм      мм      мм      мм       мм
  17:07:09.390    0.0    0.0     84.3  -1226.9     2.8     n/a     n/a     n/a      n/a
  17:07:09.437    0.0    0.0     84.0  -1226.9     8.1     n/a     n/a     n/a      n/a
  17:07:09.468    0.0    0.0     83.8  -1236.8    14.1     n/a     n/a     n/a      n/a
  17:07:09.500    0.0    0.0     83.5  -1256.6    21.4     n/a     n/a     n/a      n/a
  17:07:09.546    0.0    0.0     83.5  -1256.6    21.4     n/a     n/a     n/a      n/a
  17:07:09.593    0.0    0.0     83.3  -1256.5    26.4     n/a     n/a     n/a      n/a
  17:07:09.640    0.0    0.0     83.1  -1256.3    31.6     n/a     n/a     n/a      n/a
  17:07:09.671    0.0    0.0     82.8  -1226.4    33.1     n/a     n/a     n/a      n/a
  17:07:09.718    0.0    0.0     82.6  -1226.3    38.2     n/a     n/a     n/a      n/a
  17:07:09.765    0.0    0.0     82.4  -1226.1    43.1     n/a     n/a     n/a      n/a
  17:07:09.812    0.0    0.0     82.1  -1225.9    48.1     n/a     n/a     n/a      n/a
  17:07:09.843    0.0    0.0     81.9  -1225.7    53.1     n/a     n/a     n/a      n/a
  17:07:09.890    0.0    0.0     81.7  -1245.3    60.8     n/a     n/a     n/a      n/a
  17:07:09.937    0.0    0.0     81.4  -1215.4    61.5     n/a     n/a     n/a      n/a
  17:07:09.984    0.0    0.0     81.4  -1245.0    65.9     n/a     n/a     n/a      n/a
  17:07:10.015    0.0    0.0     81.2  -1225.0    68.0     n/a     n/a     n/a      n/a
  17:07:10.062    0.0    0.0     81.0  -1214.8    71.4     n/a     n/a     n/a      n/a
  17:07:10.109    0.0    0.0     80.7  -1214.5    76.4     n/a     n/a     n/a      n/a
  17:07:10.156    0.0    0.0     80.5  -1204.3    79.7     n/a     n/a     n/a      n/a
  17:07:10.187    0.0    0.0     80.3  -1194.2    82.8     n/a     n/a     n/a      n/a
  17:07:10.234    0.0    0.0     80.0  -1193.8    87.8     n/a     n/a     n/a      n/a
