Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 120.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 60.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob  X_Rf_L  Y_Rf_L  X_Rf_F  Y_Rf_F  X_Rf_R  Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град      мм      мм      мм      мм      мм      мм
  14:44:46.484    0.0    0.0     11.3     n/a     n/a  1216.0   242.8     n/a     n/a
  14:44:46.531    0.0    0.0     11.1     n/a     n/a  1217.0   237.9     n/a     n/a
  14:44:46.609    0.0    0.0     10.6     n/a     n/a  1199.2   224.4     n/a     n/a
  14:44:46.703    0.0    0.0     10.1     n/a     n/a  1201.0   214.6     n/a     n/a
  14:44:46.750    0.0    0.0     10.1     n/a     n/a  1122.2   200.5     n/a     n/a
  14:44:46.781    0.0    0.0      9.9     n/a     n/a  1201.9   209.6     n/a     n/a
  14:44:46.828    0.0    0.0      9.7     n/a     n/a  1173.1   199.7     n/a     n/a
  14:44:46.875    0.0    0.0      9.4     n/a     n/a  1134.5   188.2     n/a     n/a
  14:44:46.921    0.0    0.0      9.2     n/a     n/a  1164.8   188.5     n/a     n/a
  14:44:46.968    0.0    0.0      8.9     n/a     n/a  1136.0   178.7     n/a     n/a
  14:44:47.000    0.0    0.0      8.7     n/a     n/a  1136.7   174.3     n/a     n/a
  14:44:47.046    0.0    0.0      8.5     n/a     n/a  1137.4   169.8     n/a     n/a
  14:44:47.093    0.0    0.0      8.3     n/a     n/a  1118.3   162.3     n/a     n/a
  14:44:47.125    0.0    0.0      8.0     n/a     n/a  1118.9   157.9     n/a     n/a
  14:44:47.171    0.0    0.0      8.0     n/a     n/a  1118.9   157.9     n/a     n/a
