Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 120.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 0.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob  X_Rf_L  Y_Rf_L  X_Rf_F   Y_Rf_F   X_Rf_R   Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град      мм      мм      мм       мм       мм       мм
  14:55:37.468    0.0    0.0      0.0     n/a     n/a     n/a      n/a    -65.0  -1253.0
  14:55:37.515    0.0    0.0      0.0     n/a     n/a     n/a      n/a    -65.0  -1253.0
  14:55:37.765    0.0    0.0     -0.7  -104.5  1342.3     n/a      n/a      n/a      n/a
  14:55:46.125    0.0    0.0    -41.3   756.2  1040.9     n/a      n/a      n/a      n/a
  14:55:46.171    0.0    0.0    -41.6   760.2  1038.0     n/a      n/a      n/a      n/a
  14:55:47.046    0.0    0.0    -46.0     n/a     n/a   854.2   -885.0      n/a      n/a
  14:55:47.390    0.0    0.0    -47.7     n/a     n/a   808.2   -887.1      n/a      n/a
  14:55:47.437    0.0    0.0    -47.9     n/a     n/a   798.0   -882.8      n/a      n/a
  14:55:47.468    0.0    0.0    -48.1     n/a     n/a   794.4   -886.0      n/a      n/a
  14:55:47.515    0.0    0.0    -48.4     n/a     n/a   797.4   -896.7      n/a      n/a
  14:55:47.562    0.0    0.0    -48.4     n/a     n/a   790.8   -889.2      n/a      n/a
  14:55:47.609    0.0    0.0    -48.6     n/a     n/a   787.0   -892.6      n/a      n/a
  14:55:47.656    0.0    0.0    -48.8     n/a     n/a   763.7   -873.1      n/a      n/a
  14:55:47.687    0.0    0.0    -49.1     n/a     n/a   760.0   -876.4      n/a      n/a
  14:55:47.734    0.0    0.0    -49.3     n/a     n/a   782.6   -909.7      n/a      n/a
  14:55:47.796    0.0    0.0    -49.5     n/a     n/a   791.9   -928.1      n/a      n/a
  14:55:47.828    0.0    0.0    -49.8     n/a     n/a   748.1   -886.5      n/a      n/a
  14:55:47.859    0.0    0.0    -49.8     n/a     n/a   773.9   -917.1      n/a      n/a
  14:55:47.906    0.0    0.0    -50.1     n/a     n/a   757.4   -904.9      n/a      n/a
  14:55:47.953    0.0    0.0    -50.3     n/a     n/a   753.7   -907.9      n/a      n/a
  14:55:47.984    0.0    0.0    -50.5     n/a     n/a   775.3   -942.0      n/a      n/a
  14:55:48.031    0.0    0.0    -50.8     n/a     n/a   746.3   -914.0      n/a      n/a
  14:55:48.078    0.0    0.0    -51.0     n/a     n/a   742.6   -917.0      n/a      n/a
  14:55:48.109    0.0    0.0    -51.2     n/a     n/a   738.8   -920.1      n/a      n/a
  14:55:48.156    0.0    0.0    -51.5     n/a     n/a   710.1   -891.8      n/a      n/a
  14:55:48.203    0.0    0.0    -51.5     n/a     n/a   710.1   -891.8      n/a      n/a
  14:55:48.234    0.0    0.0    -51.7     n/a     n/a   706.0   -895.1      n/a      n/a
  14:55:48.281    0.0    0.0    -51.9     n/a     n/a   727.3   -929.2      n/a      n/a
  14:55:48.328    0.0    0.0    -52.2     n/a     n/a   686.7   -884.8      n/a      n/a
  14:55:48.359    0.0    0.0    -52.4     n/a     n/a   683.1   -887.6      n/a      n/a
  14:55:48.406    0.0    0.0    -52.4     n/a     n/a   707.5   -919.3      n/a      n/a
  14:55:48.453    0.0    0.0    -52.7     n/a     n/a   702.8   -922.8      n/a      n/a
  14:55:48.484    0.0    0.0    -53.0     n/a     n/a   698.6   -926.1      n/a      n/a
  14:55:48.531    0.0    0.0    -53.2     n/a     n/a   652.9   -872.8      n/a      n/a
  14:55:48.578    0.0    0.0    -53.4     n/a     n/a   649.5   -875.3      n/a      n/a
