Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 180.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 0.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob  X_Rf_L   Y_Rf_L   X_Rf_F   Y_Rf_F   X_Rf_R   Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град      мм       мм       мм       мм       мм       мм
  13:19:18.625    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.656    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.703    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.750    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.812    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.843    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.875    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.921    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:18.968    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.000    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.046    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.093    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.140    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.171    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.218    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.265    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.312    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.359    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.390    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0   -703.0
  13:19:19.453    0.0    0.0     -0.1     n/a      n/a      n/a      n/a    -66.2   -702.9
  13:19:19.484    0.0    0.0     -0.1     n/a      n/a      n/a      n/a    -66.2   -702.9
  13:19:19.531    0.0    0.0     -0.4     n/a      n/a      n/a      n/a    -70.0   -702.5
  13:19:19.562    0.0    0.0     -0.6     n/a      n/a      n/a      n/a    -72.8   -702.2
  13:19:19.609    0.0    0.0     -0.9     n/a      n/a      n/a      n/a    -75.7   -691.9
  13:19:19.656    0.0    0.0     -1.1     n/a      n/a      n/a      n/a    -78.5   -691.6
  13:19:19.703    0.0    0.0     -1.3     n/a      n/a      n/a      n/a    -81.2   -691.3
  13:19:19.750    0.0    0.0     -1.6     n/a      n/a      n/a      n/a    -84.0   -691.0
  13:19:19.781    0.0    0.0     -1.8     n/a      n/a      n/a      n/a    -87.0   -690.6
  13:19:19.828    0.0    0.0     -1.8     n/a      n/a      n/a      n/a    -87.0   -690.6
  13:19:19.875    0.0    0.0     -2.1     n/a      n/a      n/a      n/a    -90.0   -690.2
  13:19:19.921    0.0    0.0     -2.4     n/a      n/a      n/a      n/a    -93.4   -689.8
  13:19:19.968    0.0    0.0     -2.6     n/a      n/a      n/a      n/a    -96.8   -699.3
  13:19:20.000    0.0    0.0     -2.8     n/a      n/a      n/a      n/a    -99.5   -698.9
  13:19:20.046    0.0    0.0     -3.1     n/a      n/a      n/a      n/a   -102.6   -698.5
  13:19:20.093    0.0    0.0     -3.3     n/a      n/a      n/a      n/a   -105.2   -698.1
  13:19:20.125    0.0    0.0     -3.3     n/a      n/a      n/a      n/a   -105.2   -698.1
  13:19:20.171    0.0    0.0     -3.5     n/a      n/a      n/a      n/a   -108.1   -697.7
  13:19:20.218    0.0    0.0     -3.8     n/a      n/a      n/a      n/a   -111.0   -697.2
  13:19:20.265    0.0    0.0     -4.0     n/a      n/a      n/a      n/a   -114.5   -706.7
  13:19:20.296    0.0    0.0     -4.2     n/a      n/a      n/a      n/a   -117.5   -706.3
  13:19:20.343    0.0    0.0     -4.5     n/a      n/a      n/a      n/a   -120.3   -705.8
  13:19:20.390    0.0    0.0     -4.7     n/a      n/a      n/a      n/a   -123.9   -715.3
  13:19:20.437    0.0    0.0     -4.9     n/a      n/a      n/a      n/a   -127.0   -714.7
  13:19:20.484    0.0    0.0     -5.2     n/a      n/a      n/a      n/a   -129.8   -714.2
  13:19:20.515    0.0    0.0     -5.4     n/a      n/a      n/a      n/a   -133.8   -723.6
  13:19:20.562    0.0    0.0     -5.4     n/a      n/a      n/a      n/a   -133.8   -723.6
  13:19:20.609    0.0    0.0     -5.6     n/a      n/a      n/a      n/a   -136.6   -723.1
  13:19:20.656    0.0    0.0     -5.9     n/a      n/a      n/a      n/a   -139.6   -722.5
  13:19:20.687    0.0    0.0     -6.1     n/a      n/a      n/a      n/a   -142.6   -721.9
  13:19:20.734    0.0    0.0     -6.3     n/a      n/a      n/a      n/a   -146.6   -731.3
  13:19:20.781    0.0    0.0     -6.6     n/a      n/a      n/a      n/a   -149.6   -730.7
  13:19:20.828    0.0    0.0     -6.8     n/a      n/a      n/a      n/a   -152.5   -730.1
  13:19:20.859    0.0    0.0     -7.0     n/a      n/a      n/a      n/a   -155.4   -729.5
  13:19:20.906    0.0    0.0     -7.3     n/a      n/a      n/a      n/a   -159.9   -738.7
  13:19:20.953    0.0    0.0     -7.5     n/a      n/a      n/a      n/a   -162.7   -738.1
  13:19:21.000    0.0    0.0     -7.5     n/a      n/a      n/a      n/a   -162.7   -738.1
  13:19:21.031    0.0    0.0     -7.7     n/a      n/a      n/a      n/a   -165.8   -737.4
  13:19:21.078    0.0    0.0     -8.0     n/a      n/a      n/a      n/a   -168.9   -736.7
