Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 180.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 0.0 мм, Y_rob = 0.0 мм, Ang_rob = 0.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob  Y_rob  Ang_rob  X_Rf_L   Y_Rf_L   X_Rf_F   Y_Rf_F   X_Rf_R  Y_Rf_R
  чч:мм:сс.ссс     мм     мм     град      мм       мм       мм       мм       мм      мм
  13:21:31.125    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.156    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.187    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.234    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.281    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.328    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.359    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.406    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.453    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.500    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.531    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.578    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.625    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.671    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.703    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.750    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.796    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.875    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.890    0.0    0.0      0.0     n/a      n/a      n/a      n/a    -65.0  -703.0
  13:21:31.921    0.0    0.0     -0.3     n/a      n/a      n/a      n/a    -68.2  -702.7
  13:21:31.968    0.0    0.0     -0.5     n/a      n/a      n/a      n/a    -71.3  -702.4
  13:21:32.000    0.0    0.0     -0.7     n/a      n/a      n/a      n/a    -73.9  -702.1
  13:21:32.046    0.0    0.0     -1.0     n/a      n/a      n/a      n/a    -76.7  -691.8
  13:21:32.062    0.0    0.0     -1.0     n/a      n/a      n/a      n/a    -76.7  -691.8
