Лабораторная работа 1. Анализ сенсорных данных об объекте

Маршрут: шестиугольник
Направление движения: против часовой стрелки
Скорость движения: 50.0 мм/с
Рабочий дальномер: левый (Rf_L)

Выходная информация: положение робота, координаты точек объекта

          Time   X_rob   Y_rob  Ang_rob   X_obj   Y_obj
  чч:мм:сс.ссс      мм      мм     град      мм      мм
  16:15:49.468   644.9     3.0     -0.3   531.2  1244.6
  16:15:49.515   647.1     3.0     -0.3   531.9   944.6
  16:15:49.546   647.1     3.0     -0.3   531.9   944.6
  16:15:49.593   649.5     3.0     -0.3   534.0   884.6
  16:15:49.640   651.9     3.0     -0.3   536.4   884.6
  16:15:49.687   655.0     3.0     -0.3   539.5   884.6
  16:15:49.718   657.3     3.0     -0.3   541.7   874.6
  16:15:49.765   657.3     3.0     -0.3   541.6   864.6
  16:15:49.812   659.6     3.0     -0.3   543.9   864.6
  16:15:49.859   662.5     3.0     -0.3   546.8   864.6
  16:15:49.890   665.2     2.9     -0.3   549.6   854.5
  16:15:49.937   667.4     2.9     -0.3   551.8   854.5
  16:15:49.984   669.7     2.9     -0.3   554.0   844.5
  16:15:50.031   672.1     2.9     -0.3   556.3   844.5
  16:15:50.062   674.4     2.9     -0.3   558.6   844.5
  16:15:50.109   674.4     2.9     -0.3   558.6   844.5
  16:15:50.156   676.8     2.9     -0.3   561.1   844.5
  16:15:50.203   679.1     2.9     -0.3   563.4   854.5
  16:15:50.234   681.5     2.9     -0.3   565.8   854.5
  16:15:50.281   683.8     2.8     -0.3   568.1   844.4
  16:15:50.328   686.1     2.8     -0.3   570.4   854.4
  16:15:50.375   688.4     2.8     -0.3   572.7   854.4
  16:15:50.421   690.8     2.8     -0.3   575.1   854.4
  16:15:50.453   690.8     2.8     -0.3   575.1   854.4
  16:15:50.500   694.0     2.8     -0.3   578.3   854.4
  16:15:50.546   696.2     2.8     -0.3   580.6   854.4
  16:15:50.578   698.6     2.8     -0.3   582.9   854.4
  16:15:50.625   700.9     2.8     -0.3   585.1   844.4
  16:15:50.671   703.2     2.7     -0.3   587.5   844.3
  16:15:50.718   705.6     2.7     -0.3   589.9   854.3
  16:15:50.765   708.0     2.7     -0.3   592.3   844.3
  16:15:50.796   710.3     2.7     -0.3   594.5   834.3
  16:15:50.843   710.3     2.7     -0.3   594.6   844.3
  16:15:50.890   712.6     2.7     -0.3   596.8   834.3
  16:15:50.937   715.0     2.7     -0.3   599.2   834.3
  16:15:50.968   717.4     2.7     -0.3   601.6   834.3
  16:15:51.015   719.6     2.7     -0.3   603.8   824.3
  16:15:51.062   722.0     2.7     -0.3   606.2   814.3
  16:15:51.109   724.4     2.6     -0.3   608.5   814.2
  16:15:51.140   726.6     2.6     -0.3   610.5   774.2
  16:15:51.187   729.1     2.6     -0.3   612.8   744.2
  16:15:51.234   729.1     2.6     -0.3   612.8   744.2
  16:15:51.281   731.5     2.6     -0.3   615.2   724.2
  16:15:51.312   733.8     2.6     -0.3   617.4   724.2
  16:15:51.359   736.1     2.6     -0.3   619.8   724.2
  16:15:51.406   738.4     2.6     -0.3   622.1   724.2
  16:15:51.453   740.7     2.6     -0.3   624.3   714.2
  16:15:51.500   743.1     2.5     -0.3   626.7   714.1
  16:15:51.531   745.3     2.5     -0.3   629.0   724.1
  16:15:51.578   747.7     2.5     -0.3   631.3   714.1
  16:15:51.609   747.7     2.5     -0.3   631.3   714.1
  16:15:51.656   750.0     2.5     -0.3   633.6   714.1
  16:15:51.703   752.5     2.5     -0.3   636.1   714.1
  16:15:51.750   754.8     2.5     -0.3   638.4   714.1
  16:15:51.781   757.1     2.5     -0.3   640.7   714.1
  16:15:51.828   759.4     2.5     -0.3   643.0   714.1
  16:15:51.875   761.8     2.5     -0.3   645.4   714.1
  16:15:51.890   761.8     2.5     -0.3   645.4   714.1
  16:15:51.937   764.1     2.4     -0.3   647.7   704.0
  16:15:51.984   766.4     2.4     -0.3   649.9   704.0
  16:15:52.015   768.8     2.4     -0.3   652.3   704.0
  16:15:52.062   771.1     2.4     -0.3   654.6   704.0
  16:15:52.109   773.4     2.4     -0.3   657.0   704.0
  16:15:52.156   775.7     2.4     -0.3   659.3   704.0
  16:15:52.187   778.1     2.4     -0.3   661.7   704.0
  16:15:52.234   778.1     2.4     -0.3   661.7   704.0
  16:15:52.281   780.5     2.4     -0.3   664.1   704.0
  16:15:52.328   782.8     2.3     -0.3   666.3   693.9
  16:15:52.359   785.1     2.3     -0.3   668.6   693.9
  16:15:52.406   787.5     2.3     -0.3   670.8   663.9
  16:15:52.468   789.8     2.3     -0.3   673.1   653.9
  16:15:52.500   793.0     2.3     -0.3   676.3   653.9
  16:15:52.531   793.0     2.3     -0.3   675.9   583.9
  16:15:52.562   795.2     2.3     -0.3   678.0   553.9
  16:15:52.609   797.6     2.3     -0.3   680.4   553.9
  16:15:52.640   800.0     2.3     -0.3   682.7   543.9
  16:15:52.687   802.4     2.2     -0.3   685.1   543.8
  16:15:52.734   804.6     2.2     -0.3   687.4   543.8
  16:15:52.781   804.6     2.2     -0.3   687.4   543.8
  16:15:52.828   807.0     2.2     -0.3   689.7   543.8
  16:15:52.859   809.3     2.2     -0.3   692.1   543.8
  16:15:52.906   811.6     2.2     -0.3   694.4   543.8
  16:15:52.953   814.0     2.2     -0.3   696.8   543.8
  16:15:53.000   816.4     2.2     -0.3   699.1   543.8
  16:15:53.031   818.7     2.2     -0.3   701.4   533.8
  16:15:53.078   818.7     2.2     -0.3   701.4   533.8
  16:15:53.125   821.4     2.2     -0.3   704.1   533.8
  16:15:53.171   824.1     2.1     -0.3   706.8   533.7
  16:15:53.203   826.5     2.1     -0.3   709.2   533.7
  16:15:53.265   828.8     2.1     -0.3   711.5   533.7
  16:15:53.296   831.3     2.1     -0.3   714.0   533.7
  16:15:53.328   833.4     2.1     -0.3   716.1   523.7
  16:15:53.375   835.8     2.1     -0.3   718.4   523.7
  16:15:53.421   835.8     2.1     -0.3   718.4   523.7
  16:15:53.468   838.2     2.1     -0.3   720.8   523.7
  16:15:53.500   840.6     2.1     -0.3   723.2   523.7
  16:15:53.531   842.8     2.0     -0.3   725.5   523.6
  16:15:53.578   845.2     2.0     -0.3   727.9   523.6
  16:15:53.593   845.2     2.0     -0.3   727.9   523.6
  16:15:53.640   847.5     2.0     -0.3   730.1   523.6
  16:15:53.687   849.8     2.0     -0.3   732.5   523.6
  16:15:53.734   852.2     2.0     -0.3   734.9   523.6
  16:15:53.765   854.5     2.0     -0.3   737.2   523.6
  16:15:53.812   856.9     2.0     -0.3   739.5   523.6
  16:15:53.875   859.2     2.0     -0.3   741.8   523.6
  16:15:53.906   861.6     1.9     -0.3   744.2   523.5
  16:15:53.937   861.6     1.9     -0.3   744.2   523.5
  16:15:53.984   863.9     1.9     -0.3   746.5   523.5
  16:15:54.031   866.2     1.9     -0.3   748.8   513.5
  16:15:54.078   868.5     1.9     -0.3   751.1   513.5
  16:15:54.125   870.9     1.9     -0.3   753.5   513.5
  16:15:54.156   873.2     1.9     -0.3   755.8   513.5
  16:15:54.203   875.5     1.9     -0.3   758.1   513.5
  16:15:54.250   877.9     1.9     -0.3   760.5   513.5
  16:15:54.296   880.3     1.9     -0.3   762.9   513.5
  16:15:54.328   882.5     1.8     -0.3   765.1   513.4
  16:15:54.375   884.9     1.8     -0.3   767.5   513.4
  16:15:54.421   884.9     1.8     -0.3   767.5   503.4
  16:15:54.484   887.3     1.8     -0.3   769.9   503.4
  16:15:54.515   890.4     1.8     -0.3   772.9   503.4
  16:15:54.546   893.7     1.8     -0.3   776.2   503.4
  16:15:54.593   893.7     1.8     -0.3   776.2   503.4
  16:15:54.640   895.8     1.8     -0.3   778.4   503.4
  16:15:54.687   898.2     1.8     -0.3   780.7   503.4
  16:15:54.718   900.5     1.7     -0.3   783.1   503.4
  16:15:54.765   903.0     1.7     -0.3   785.5   503.3
  16:15:54.812   905.2     1.7     -0.3   787.7   503.3
  16:15:54.859   907.6     1.7     -0.3   790.1   493.3
  16:15:54.890   909.8     1.7     -0.3   792.3   493.3
  16:15:54.937   912.3     1.7     -0.3   794.7   493.3
  16:15:54.984   914.6     1.7     -0.3   797.1   493.3
  16:15:55.031   914.6     1.7     -0.3   797.1   493.3
  16:15:55.093   916.9     1.7     -0.3   799.4   493.3
  16:15:55.109   919.2     1.7     -0.3   801.7   493.3
  16:15:55.156   922.4     1.6     -0.3   804.9   493.2
  16:15:55.187   924.8     1.6     -0.3   807.2   493.2
  16:15:55.234   924.8     1.6     -0.3   807.2   493.2
  16:15:55.281   927.0     1.6     -0.3   809.5   493.2
  16:15:55.328   929.5     1.6     -0.3   812.0   493.2
  16:15:55.359   931.6     1.6     -0.3   814.1   493.2
  16:15:55.406   934.1     1.6     -0.3   816.6   493.2
  16:15:55.453   936.4     1.6     -0.3   818.9   493.2
  16:15:55.500   938.8     1.6     -0.3   821.3   493.2
  16:15:55.546   941.1     1.5     -0.3   823.6   493.1
  16:15:55.593   943.4     1.5     -0.3   825.8   493.1
  16:15:55.625   945.8     1.5     -0.3   828.3   493.1
  16:15:55.671   948.1     1.5     -0.3   830.6   493.1
  16:15:57.937  1056.5     1.0     -0.3   939.0   492.6
  16:15:57.984  1059.3     0.9     -0.3   941.8   492.5
  16:15:58.031  1061.9     0.9     -0.3   944.4   492.5
