Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 360.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 30.0 град/с
Первоначальное положение робота: X_rob = 160.5 мм, Y_rob = 1045.8 мм, Ang_rob = -86.0 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob   Y_rob  Ang_rob   X_Rf_L  Y_Rf_L  X_Rf_F  Y_Rf_F   X_Rf_R  Y_Rf_R
  чч:мм:сс.ссс     мм      мм     град       мм      мм      мм      мм       мм      мм
  16:46:33.031  160.5  1045.8     94.0      n/a     n/a    81.1  2173.0      n/a     n/a
  16:46:33.062  160.5  1045.8     94.0      n/a     n/a    79.0  2203.0      n/a     n/a
  16:46:33.093  160.5  1045.8     94.0      n/a     n/a    79.7  2193.0      n/a     n/a
  16:46:33.140  160.5  1045.8     94.0      n/a     n/a    80.4  2183.0      n/a     n/a
  16:46:33.187  160.5  1045.8     94.0      n/a     n/a    79.7  2193.0      n/a     n/a
  16:46:33.218  160.5  1045.8     94.0      n/a     n/a    77.6  2222.9      n/a     n/a
  16:46:33.265  160.5  1045.8     94.0      n/a     n/a    79.7  2193.0      n/a     n/a
  16:46:33.296  160.5  1045.8     94.0      n/a     n/a    78.3  2212.9      n/a     n/a
  16:46:33.343  160.5  1045.8     94.0      n/a     n/a    79.7  2193.0      n/a     n/a
  16:46:33.390  160.5  1045.8     94.0      n/a     n/a    78.3  2212.9      n/a     n/a
  16:46:33.437  160.5  1045.8     94.0      n/a     n/a    79.0  2203.0      n/a     n/a
  16:46:33.468  160.5  1045.8     94.0      n/a     n/a    79.0  2203.0      n/a     n/a
